1,0.05,0.00031,0,1000,1000,1000
2,0.04,0.00025,0,2000,1000,900
3,0.02,0.00032,50,3000,1000,900
4,0.01,0.00034,40,4000,1000,800
5,0.05,0.00046,50,1000,2000,1000
6,0.004,0.00066,60,2000,2000,900
7,0.002,0.00097,40,3000,2000,1000
8,0.001,0.00091,0,4000,2000,900
9,0.005,0.00051,20,1000,3000,500
10,0.04,0.00025,0,2000,3000,1000
11,0.04,0.00025,0,3000,3000,600
12,0.01,0.00051,40,4000,3000,1000
13,0.005,0.00053,50,1000,4000,700
14,0.05,0.00031,0,2000,4000,800
15,0.01,0.00027,20,3000,4000,1000
16,0.02,0.00040,60,4000,4000,900
17,0.05,0.00036,50,1500,1500,500
18,0.04,0.00043,70,2500,1500,300
19,0.04,0.00030,20,3500,1500,500
20,0.02,0.00031,50,1500,2500,400
21,0.004,0.00059,40,3500,2500,600
22,0.002,0.00069,0,1500,3500,400
23,0.002,0.00069,0,2500,3500,500
24,0.004,0.00050,20,3500,3500,300
25,0.01,0.00039,60,1000,1000,500
26,0.02,0.00030,40,2000,1000,600
27,0.01,0.00030,20,3000,1000,900
28,0.02,0.00029,40,4000,1000,700
29,0.01,0.00044,80,1000,4000,500
30,0.02,0.00038,80,2000,4000,600
31,0.01,0.00048,100,3000,4000,700
32,0.02,0.00053,150,4000,4000,900
