1,0.05,0.00031,0,1000,1000,1000
2,0.04,0.00025,0,2000,1000,900
3,0.02,0.00024,0,3000,1000,900
4,0.01,0.00021,0,4000,1000,800
5,0.05,0.00031,0,1000,2000,1000
6,0.004,0.00042,0,2000,2000,900
7,0.002,0.00061,0,3000,2000,1000
8,0.001,0.00091,0,4000,2000,900
9,0.005,0.00035,0,1000,3000,500
10,0.04,0.00025,0,2000,3000,1000
11,0.04,0.00025,0,3000,3000,600
12,0.01,0.00024,0,4000,3000,1000
13,0.005,0.00035,0,1000,4000,700
14,0.05,0.00031,0,2000,4000,800
15,0.01,0.00021,0,3000,4000,1000
16,0.02,0.00024,0,4000,4000,900
