1,0.05,0.00031,0,1000,1000,1000,10.20.1.1
2,0.04,0.00025,0,2000,1000,900,10.20.1.2
3,0.02,0.00024,0,3000,1000,900,10.20.1.3
4,0.01,0.00021,0,4000,1000,800,10.20.1.4
5,0.05,0.00031,0,1000,2000,1000,10.20.1.5
6,0.004,0.00042,0,2000,2000,900,10.20.1.6
7,0.002,0.00061,0,3000,2000,1000,10.20.1.7
8,0.001,0.00091,0,4000,2000,900,10.20.1.8
9,0.005,0.00035,0,1000,3000,500,10.20.1.9
10,0.04,0.00025,0,2000,3000,1000,10.20.1.10
11,0.04,0.00025,0,3000,3000,600,10.20.1.11
12,0.01,0.00024,0,4000,3000,1000,10.20.1.12
13,0.005,0.00035,0,1000,4000,700,10.20.1.13
14,0.05,0.00031,0,2000,4000,800,10.20.1.14
15,0.01,0.00021,0,3000,4000,1000,10.20.1.15
16,0.02,0.00024,0,4000,4000,900,10.20.1.16
