1,600000,60000,1100,3400,1100,4550,0.058
2,600000,60000,600,4950,400,4800,0.063
3,600000,60000,600,3950,800,2950,0.068
4,600000,60000,1000,4550,1450,3550,0.065
5,600000,60000,1550,3600,50,4950,0.081
6,600000,60000,950,3450,900,3400,0.068
7,600000,60000,1050,4550,2400,4400,0.06
8,600000,60000,500,3450,150,3000,0.06
9,600000,60000,50,3100,1000,4700,0.065
10,600000,60000,50,2500,900,4850,0.069
11,600000,60000,1500,4500,2450,4900,0.065
12,600000,60000,1050,3500,1450,3500,0.053
13,600000,60000,600,4900,1150,4600,0.067
14,600000,60000,600,4400,1850,4500,0.051
15,600000,60000,1000,4600,700,2950,0.078
16,600000,60000,1400,4950,1050,4150,0.069
17,600000,60000,50,2550,2600,4650,0.069
18,600000,60000,2000,4550,1150,3450,0.079
19,600000,60000,2400,4600,1650,4600,0.058
20,600000,60000,950,4950,700,3900,0.055
21,600000,60000,2000,4600,950,4800,0.052
22,600000,60000,1100,4000,600,4600,0.067
23,600000,60000,0,2550,300,4450,0.077
24,600000,60000,1600,3950,900,4800,0.071
25,600000,60000,500,4050,1000,3500,0.068
26,600000,60000,900,4050,150,3500,0.083
27,600000,60000,1450,4550,1400,4400,0.073
28,600000,60000,1600,4950,1850,4000,0.055
29,600000,60000,900,4100,0,2100,0.079
30,600000,60000,400,3900,550,4500,0.084
31,600000,60000,2450,4900,900,4300,0.064
32,600000,60000,550,4000,1850,4500,0.058
33,600000,60000,400,3550,1500,3800,0.084
34,600000,60000,50,2500,50,3900,0.067
35,600000,60000,1950,4400,1400,4950,0.074
36,600000,60000,1550,3550,550,4600,0.069
37,600000,60000,1000,3400,800,4550,0.05
38,600000,60000,450,4500,0,3150,0.066
39,600000,60000,600,4050,1400,4500,0.089
40,600000,60000,1400,4550,950,4500,0.063
41,600000,60000,2050,4550,400,2950,0.054
42,600000,60000,1550,4400,300,4600,0.059
43,600000,60000,400,2550,550,3300,0.058
44,600000,60000,100,3400,600,3050,0.071
45,600000,60000,400,2550,1150,4400,0.052
46,600000,60000,1500,4950,400,2450,0.07
47,600000,60000,600,4900,500,3350,0.054
48,600000,60000,1100,3600,1100,4450,0.076
49,600000,60000,1450,3500,450,3000,0.076
50,600000,60000,1050,4100,250,4600,0.089
51,600000,60000,400,3550,750,4600,0.065
52,600000,60000,550,4450,450,3650,0.089
53,600000,60000,500,3100,2000,4700,0.078
54,600000,60000,500,2950,2400,4600,0.058
55,600000,60000,1550,3900,1650,4500,0.06
56,600000,60000,1050,4950,950,3100,0.088
57,600000,60000,1450,3550,400,4200,0.079
58,600000,60000,900,4550,950,4050,0.061
59,600000,60000,1400,3400,950,2950,0.089
60,600000,60000,1900,4450,2450,4850,0.085
61,600000,60000,1550,4100,600,3600,0.054
62,600000,60000,550,4050,1550,3600,0.069
63,600000,60000,900,3600,850,3000,0.067
64,600000,60000,1550,4400,2400,4950,0.075
65,600000,60000,550,3900,900,4550,0.059
66,600000,60000,900,3550,1300,3950,0.074
67,600000,60000,0,2950,1450,4050,0.089
68,600000,60000,1400,4950,100,3050,0.056
69,600000,60000,1400,3400,1500,4900,0.087
70,600000,60000,500,2550,1300,3400,0.067
